reviewerID,mappedID
A11F6V4DD7WND4,0
AXPZYN4FP89L9,1
AOCT8ZWCRWLRE,2
A1UUD54HPAQZ2G,3
A2YHHBBJVTVD79,4
A210F363QMIJNB,5
AN5FVH1ZG4E37,6
A168MTRMKUH779,7
A37YX5TRJMFAXE,8
A3MOR32CP9YROF,9
A2FBMTM52QUOH9,10
A2HN86W0BCH96I,11
ATK6ZOZHHLX8S,12
ABZP8TN0H5CG4,13
A274ES94JJ1P0T,14
A20696LTDZ4VSS,15
A12GO39SW292GH,16
A1FVN1L7VBEUB2,17
AL19QO4XLBQPU,18
A1I7CVB7X3T81E,19
A1VRZ0EBND66S4,20
AMIT5H8GRD1HZ,21
A268P3IHMTA3XV,22
A2D5MMC85I80S,23
A3LZDAFWIAP8SL,24
AOA65JJFUIPO,25
A1Y7692BSO96T7,26
ALTT6S93HZH6D,27
A1Q1EUHR7TW962,28
A2757H3T892HIW,29
A2SNJHQPKXQMC5,30
A2M8CTW72KX0T1,31
A260DD7X0FLR4G,32
A3OJN2N5NAK7JO,33
A1AQXO4P5U674E,34
AIRV678P7C4NK,35
A1EM7VGCWSE5G1,36
A22I5QDNTNECDW,37
A1K0E79MDFW97W,38
A1ZK29JA9FV3WU,39
APDAQPFJKVFHA,40
A15QUTMXQBQ0G9,41
A2XCJN9SC4WTDM,42
A3S2N07JMVYZMX,43
APOURRSM05704,44
A28IJ8TORJHGG4,45
A1J0NRRT4IJO6H,46
AG4FZQTZWO7HH,47
A11SW92KA37VC6,48
A3K5CGPYY0YDHX,49
AMZW5Q3FLTUZI,50
AZAOZ2IXDHODF,51
AHWMBWF1JKZJS,52
A2IG03U7TO6S19,53
A1HPT7CJZ8J9ZQ,54
A151BAUEN9UDQ4,55
ABZH9NHH9HMY1,56
A2L0H29V260N4B,57
A2FSSVKQIX1IPC,58
A32UGULVMQUN33,59
ATQ2BVYONQN7Z,60
A3VAVP03K222WK,61
A3FWOM5GEF8FJG,62
A1O8TO93XIT7DQ,63
A3KH9SQWU85GAR,64
A1LFTJ6I9RB26N,65
A1DFONOQ77IMX3,66
A9UWFIAOF605R,67
A23FDM1QEGG3F3,68
A23UL3TYLB423S,69
A32XWWRAMNAARJ,70
A29A1X6ZUQQMW6,71
AWA3JA7B2700X,72
A28PEDHPKW8LS5,73
A2C0RKECD84CFA,74
AC7W0WP4QW1WL,75
A1FAQK915TM6X8,76
A3FUM5ZSEOF2NI,77
A2L8F5DB0QX7X4,78
A1F8FFQJ94YS10,79
A37A9PJAFSZXAV,80
A2IAGDKUOYR3DH,81
A39ZCA7RPCLF38,82
A1ETP2C1AMDKO1,83
A3E0XOW5VLJ6EJ,84
A1JYQA8JTBEY12,85
A3MAX5JIVZZ8C7,86
A3Q2GWIC5NTOO4,87
A3CJ7YZ8VMPA1X,88
A12ASE6CN8Z79O,89
A155BWNSCC2NNK,90
A23LTUWD6OCAGN,91
AY7FEEM1JM6WF,92
A3F5LAUMEF4XEA,93
A1A1VZ84W17IN6,94
A1VOOQOJ8FO7TH,95
A2B695DNG53SFL,96
A141MNERO3PJP8,97
A1569DOG0K3M9I,98
A3HGO86T0PJB09,99
A2EQ3L3HZC9WNB,100
A2A3X684HPCC5Q,101
A1EGTY7A9JFF1H,102
A1F21MY59VWWIS,103
ATDM80XTEEY6X,104
A2XK6XXTQ8YQ8D,105
A23JPRVA2PFPYH,106
A2O6OXL21MVGZL,107
A28QBMCWQPHAMN,108
